37415503.4514	1.71371771315e+18
56123255.1771	1.71370318112e+18
74831006.9028	1.71370437727e+18
93538758.6285	1.71371699994e+18
112246510.354	1.7137312738e+18
130954262.08	1.71374021922e+18
149662013.806	1.71374384764e+18
168369765.531	1.71374633462e+18
187077517.257	1.71375161925e+18
205785268.983	1.7137603486e+18
224493020.708	1.71377055337e+18
243200772.434	1.71377986037e+18
261908524.16	1.71378740643e+18
280616275.886	1.71379391805e+18
299324027.611	1.71380061747e+18
318031779.337	1.71380820202e+18
336739531.063	1.71381643636e+18
355447282.788	1.71382471749e+18
374155034.514	1.71383253664e+18
392862786.24	1.71383990938e+18
411570537.966	1.71384708787e+18
430278289.691	1.71385437249e+18
448986041.417	1.71386181611e+18
467693793.143	1.71386929924e+18
486401544.868	1.71387667397e+18
505109296.594	1.7138838469e+18
523817048.32	1.71389088879e+18
542524800.046	1.71389783942e+18
561232551.771	1.71390478851e+18
579940303.497	1.71391169028e+18
598648055.223	1.71391853399e+18
617355806.948	1.71392527305e+18
636063558.674	1.71393190234e+18
654771310.4	1.71393845962e+18
673479062.125	1.71394492959e+18
692186813.851	1.71395136593e+18
710894565.577	1.71395771421e+18
729602317.303	1.71396401216e+18
748310069.028	1.71397022569e+18
767017820.754	1.71397637258e+18
785725572.48	1.71398247263e+18
804433324.205	1.71398850037e+18
823141075.931	1.71399450969e+18
841848827.657	1.7140004465e+18
860556579.383	1.71400636527e+18
879264331.108	1.71401223593e+18
897972082.834	1.71401807542e+18
916679834.56	1.71402390789e+18
935387586.285	1.71402969885e+18
954095338.011	1.7140355084e+18
972803089.737	1.71404128785e+18
991510841.463	1.71404708253e+18
1010218593.19	1.71405288391e+18
1028926344.91	1.71405868474e+18
1047634096.64	1.71406452789e+18
1066341848.37	1.7140703712e+18
1085049600.09	1.71407626326e+18
1103757351.82	1.71408218444e+18
1122465103.54	1.71408813813e+18
1141172855.27	1.71409415447e+18
1159880606.99	1.71410019875e+18
1178588358.72	1.71410631081e+18
1197296110.45	1.71411247513e+18
1216003862.17	1.71411868748e+18
1234711613.9	1.7141249792e+18
1253419365.62	1.71413131236e+18
1272127117.35	1.71413771959e+18
1290834869.07	1.71414419138e+18
1309542620.8	1.71415070928e+18
1328250372.53	1.71415731052e+18
1346958124.25	1.7141639506e+18
1365665875.98	1.71417065463e+18
1384373627.7	1.71417741881e+18
1403081379.43	1.71418421248e+18
1421789131.15	1.71419107196e+18
1440496882.88	1.7141979563e+18
1459204634.61	1.71420487358e+18
1477912386.33	1.71421183022e+18
1496620138.06	1.71421878863e+18
1515327889.78	1.714225772e+18
1534035641.51	1.71423275923e+18
1552743393.23	1.71423973183e+18
1571451144.96	1.71424670805e+18
1590158896.69	1.71425365412e+18
1608866648.41	1.7142605689e+18
1627574400.14	1.71426745997e+18
1646282151.86	1.71427428845e+18
1664989903.59	1.71428107244e+18
1683697655.31	1.71428779849e+18
1702405407.04	1.71429444002e+18
1721113158.77	1.71430102249e+18
1739820910.49	1.71430751371e+18
1758528662.22	1.71431391213e+18
1777236413.94	1.71432023203e+18
1795944165.67	1.71432644147e+18
1814651917.39	1.71433255591e+18
1833359669.12	1.71433857694e+18
1852067420.85	1.71434448365e+18
1870775172.57	1.71435029848e+18
1889482924.3	1.71435601745e+18
1908190676.02	1.71436163048e+18
1926898427.75	1.71436716533e+18
1945606179.47	1.71437261435e+18
1964313931.2	1.71437797969e+18
1983021682.93	1.71438329186e+18
2001729434.65	1.71438854109e+18
2020437186.38	1.71439374309e+18
2039144938.1	1.71439892662e+18
2057852689.83	1.71440408348e+18
2076560441.55	1.71440924051e+18
2095268193.28	1.7144144219e+18
2113975945	1.71441962373e+18
2132683696.73	1.71442487933e+18
2151391448.46	1.71443020704e+18
2170099200.18	1.71443560807e+18
2188806951.91	1.71444111604e+18
2207514703.63	1.71444674431e+18
2226222455.36	1.71445249594e+18
2244930207.08	1.71445840043e+18
2263637958.81	1.71446446629e+18
2282345710.54	1.71447069255e+18
2301053462.26	1.71447710338e+18
2319761213.99	1.71448369826e+18
2338468965.71	1.71449046916e+18
2357176717.44	1.7144974321e+18
2375884469.16	1.71450457323e+18
2394592220.89	1.7145118764e+18
2413299972.62	1.71451934416e+18
2432007724.34	1.71452694901e+18
2450715476.07	1.71453466373e+18
2469423227.79	1.7145424748e+18
2488130979.52	1.71455034231e+18
2506838731.24	1.7145582254e+18
2525546482.97	1.71456609655e+18
2544254234.7	1.71457390513e+18
2562961986.42	1.71458159907e+18
2581669738.15	1.71458914235e+18
2600377489.87	1.71459648e+18
2619085241.6	1.71460355772e+18
2637792993.32	1.71461034271e+18
2656500745.05	1.71461679047e+18
2675208496.78	1.7146228627e+18
2693916248.5	1.71462855129e+18
2712624000.23	1.71463384689e+18
2731331751.95	1.71463875433e+18
2750039503.68	1.71464331636e+18
2768747255.4	1.71464758362e+18
2787455007.13	1.71465162206e+18
2806162758.86	1.71465553163e+18
2824870510.58	1.71465941581e+18
2843578262.31	1.71466337513e+18
2862286014.03	1.71466752096e+18
2880993765.76	1.71467194711e+18
2899701517.48	1.7146767147e+18
2918409269.21	1.7146818707e+18
2937117020.94	1.71468743243e+18
2955824772.66	1.71469337551e+18
2974532524.39	1.71469966329e+18
2993240276.11	1.7147062457e+18
3011948027.84	1.71471304841e+18
3030655779.56	1.71472000115e+18
3049363531.29	1.71472704038e+18
3068071283.02	1.71473409329e+18
3086779034.74	1.71474109722e+18
3105486786.47	1.71474800769e+18
3124194538.19	1.71475478333e+18
3142902289.92	1.71476139769e+18
